"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2023","88.4930","88.2900","88.5505","87.8925","","0.29%"
"02/16/2023","88.2350","88.4755","88.6535","88.2225","","-0.24%"
"02/15/2023","88.4510","89.0340","89.0880","88.2705","","-0.62%"
"02/14/2023","89.0040","88.5605","89.4620","88.5480","","0.52%"
"02/13/2023","88.5470","88.1230","88.6700","87.9945","","0.51%"
"02/10/2023","88.0960","88.6315","88.6675","87.9825","","-0.55%"
"02/09/2023","88.5840","88.5320","89.0395","88.5095","","0.08%"
"02/08/2023","88.5100","88.8860","88.9650","88.4990","","-0.41%"
"02/07/2023","88.8760","88.7660","89.2345","88.3960","","0.11%"
"02/06/2023","88.7800","88.7300","89.2195","88.6520","","0.06%"
"02/03/2023","88.7250","89.5020","89.7345","88.7420","","-0.87%"
"02/02/2023","89.5050","89.8515","90.4710","89.4385","","-0.34%"
"02/01/2023","89.8130","88.8335","89.9455","88.7140","","1.16%"
"01/31/2023","88.7850","88.4545","88.9085","88.4220","","0.44%"
"01/30/2023","88.4000","88.6435","88.9755","88.3610","","-0.20%"
"01/27/2023","88.5770","88.7100","88.8595","88.3800","","-0.09%"
"01/26/2023","88.6560","88.9935","89.0855","88.4250","","-0.33%"
"01/25/2023","88.9470","88.8325","89.1675","88.5585","80.56K","0.20%"
"01/24/2023","88.7660","88.5885","88.8770","88.4410","76.15K","0.24%"
"01/23/2023","88.5500","87.9485","88.9160","87.9405","77.85K","0.74%"
"01/20/2023","87.8980","88.0125","88.1325","87.6480","84.53K","-0.07%"
"01/19/2023","87.9590","87.8790","88.1970","87.6445","109.94K","0.08%"
"01/18/2023","87.8900","88.0840","88.3840","87.7595","117.48K","-0.20%"
"01/17/2023","88.0620","88.3675","88.7140","87.9575","115.90K","-0.26%"
"01/16/2023","88.2890","88.0640","88.4460","87.9465","73.00K","0.32%"
"01/13/2023","88.0100","87.9880","88.4130","87.7910","104.92K","0.04%"
"01/12/2023","87.9770","87.8225","88.2770","87.4340","102.05K","0.20%"
"01/11/2023","87.8010","87.6375","88.0650","87.4800","94.50K","0.24%"
"01/10/2023","87.5920","88.1380","88.3475","87.5225","100.37K","-0.64%"
"01/09/2023","88.1520","87.5160","88.3815","87.5075","92.22K","0.67%"
"01/06/2023","87.5680","86.9070","87.8640","86.7110","101.63K","0.81%"
"01/05/2023","86.8620","87.6600","87.9105","86.8285","87.73K","-0.83%"
"01/04/2023","87.5910","87.3155","88.0430","87.2535","96.93K","0.30%"
"01/03/2023","87.3270","88.2645","88.4380","87.2845","100.98K","-1.02%"
"01/02/2023","88.2230","88.5530","88.6030","88.1310","23.65K","-0.34%"
